mbbs_county,year,route,stop_num,species_code,count,observers,obs1,obs2,obs3,notes 
chatham,2000,1,1,EABL,3,Patricia Baileys,,,,
chatham,2000,1,1,PIWA,2,Patricia Baileys,,,,
chatham,2000,1,1,NOCA,3,Patricia Baileys,,,,
chatham,2000,1,1,EAWP,2,Patricia Baileys,,,,
chatham,2000,1,2,EAWP,1,Patricia Baileys,,,,
chatham,2000,1,2,AMCR,4,Patricia Baileys,,,,
chatham,2000,1,2,EABL,3,Patricia Baileys,,,,
chatham,2000,1,2,NOCA,2,Patricia Baileys,,,,
chatham,2000,1,2,INBU,1,Patricia Baileys,,,,
chatham,2000,1,3,CHSW,1,Patricia Baileys,,,,
chatham,2000,1,3,AMCR,3,Patricia Baileys,,,,
chatham,2000,1,3,TUTI,1,Patricia Baileys,,,,
chatham,2000,1,3,BRTH,1,Patricia Baileys,,,,
chatham,2000,1,3,BGGN,2,Patricia Baileys,,,,
chatham,2000,1,3,WOTH,1,Patricia Baileys,,,,
chatham,2000,1,3,NOCA,3,Patricia Baileys,,,,
chatham,2000,1,4,CHSW,1,Patricia Baileys,,,,
chatham,2000,1,4,EAWP,1,Patricia Baileys,,,,
chatham,2000,1,4,AMCR,2,Patricia Baileys,,,,
chatham,2000,1,4,CARW,1,Patricia Baileys,,,,
chatham,2000,1,4,NOMO,1,Patricia Baileys,,,,
chatham,2000,1,4,REVI,1,Patricia Baileys,,,,
chatham,2000,1,5,MODO,2,Patricia Baileys,,,,
chatham,2000,1,5,CHSW,1,Patricia Baileys,,,,
chatham,2000,1,5,CACH,3,Patricia Baileys,,,,
chatham,2000,1,5,WOTH,2,Patricia Baileys,,,,
chatham,2000,1,5,REVI,2,Patricia Baileys,,,,
chatham,2000,1,5,PIWA,1,Patricia Baileys,,,,
chatham,2000,1,5,SCTA,1,Patricia Baileys,,,,
chatham,2000,1,5,NOCA,1,Patricia Baileys,,,,
chatham,2000,1,5,NOPA,2,Patricia Baileys,,,,
chatham,2000,1,6,CACH,1,Patricia Baileys,,,,
chatham,2000,1,6,WOTH,1,Patricia Baileys,,,,
chatham,2000,1,6,REVI,1,Patricia Baileys,,,,
chatham,2000,1,6,PIWA,1,Patricia Baileys,,,,
chatham,2000,1,6,NOCA,2,Patricia Baileys,,,,
chatham,2000,1,7,AMCR,3,Patricia Baileys,,,,
chatham,2000,1,7,REVI,2,Patricia Baileys,,,,
chatham,2000,1,7,PIWA,1,Patricia Baileys,,,,
chatham,2000,1,7,YTWA,1,Patricia Baileys,,,,
