"county","route","observers","primary_observer"
"Chatham",1,"Marsha Stephens and Patsy Bailey","Patricia Bailey"
"Chatham",1,"Patricia Bailey and Marsha Stephens","Patricia Bailey"
"Chatham",1,"Patsy Bailey","Patricia Bailey"
"Chatham",1,"Patsy Bailey and Marsha Stephens","Patricia Bailey"
"Chatham",2,"Norm Budnitz & Mike Schultz","Norman Budnitz"
"Chatham",2,"Norm Budnitz, Mike Schultz","Norman Budnitz"
"Chatham",2,"Norman Budnitz, Mike Schultz","Norman Budnitz"
"Chatham",2,"Norman Budnitz, Mike Schultz, Karen Hogan","Norman Budnitz"
"Chatham",3,"Haven and Minna Wiley","Haven Wiley"
"Chatham",3,"Haven Wiley","Haven Wiley"
"Chatham",4,"Michael and Lois Schultz","Michael Schultz"
"Chatham",4,"Michael Schultz","Michael Schultz"
"Chatham",4,"Mike Schultz, Lois Schultz","Michael Schultz"
"Chatham",4,"Schultz, Michael","Michael Schultz"
"Chatham",5,"driscoll, tom","Tom Driscoll"
"Chatham",5,"Haven and Minna Wiley","Haven Wiley"
"Chatham",5,"Jeff Pippen and Julie Rice","Jeff Pippen"
"Chatham",5,"Marsha Tuttle, Thomas Driscoll, Colyer Durovich","Tom Driscoll"
"Chatham",5,"tom driscoll","Tom Driscoll"
"Chatham",5,"Tom Driscoll","Tom Driscoll"
"Chatham",5,"Tom Driscoll, Edison Buenano","Tom Driscoll"
"Chatham",5,"tom driscoll, Vern Bothwell","Tom Driscoll"
"Chatham",6,"Cynthia Fox and Marsha Stephens","Marsha Stephens"
"Chatham",6,"Marsha Tuttle, Thomas Driscoll, Laurie Kucharik","Marsha Stephens"
"Chatham",6,"Roger Shaw","Roger Shaw"
"Chatham",7,"Will Cook","Will Cook"
"Chatham",7,"Will Cook, Catherine Carter","Will Cook"
"Chatham",7,"Will Cook, Lesley Starke","Will Cook"
"Chatham",8,"Judy Murray and Marty Girolami","Judy Murray"
"Chatham",8,"Martha Girolami, Judy Murray","Martha Girolami"
"Chatham",8,"Martha Girolami, Pat Reid and Judy Murray","Martha Girolami"
"Chatham",8,"Nan Dewire and Fleeta Wilkinson","Nan Dewire"
"Chatham",9,"Shelley Theye and Lee Van Malssen","Shelley Theye"
"Chatham",10,"Brian Strong","Brian Strong"
"Chatham",10,"Sue Brady","Sue Brady"
"Chatham",10,"Will Cook","Will Cook"
"Chatham",11,"Bob Chase","Bob Chase"
"Chatham",11,"M. Graves and B. Chase","Bob Chase"
"Chatham",12,"Kate Finlayson and Chris Canfield","Kate Finlayson"
"Chatham",12,"tom driscoll, Elizabeth Keating","Tom Driscoll"
"Chatham",12,"tom driscoll, Fleeta Wilkinson","Tom Driscoll"
"Chatham",13,"Marsha Stephens","Marsha Stephens"
"Chatham",13,"Marsha Stephens and Patsy Bailey","Marsha Stephens"
"Chatham",13,"Marsha Tuttle, Thomas Driscoll, Laurie Kucharik","Marsha Stephens"
"Chatham",13,"Tom Driscoll","Tom Driscoll"
"Chatham",13,"tom driscoll","Tom Driscoll"
"Chatham",13,"tom driscoll, Bradley Saul","Tom Driscoll"
"Chatham",13,"tom driscoll, Nan DeWire","Tom Driscoll"
"Chatham",14,"Josh Sims","Josh Sims"
"Chatham",14,"Kent Fiala","Kent Fiala"
"Chatham",14,"Richard Snow","Richard Snow"
"Durham",1,"judy murray","Judy Murray"
"Durham",1,"Judy Murray","Judy Murray"
"Durham",1,"Judy Murray, Robin Moran","Judy Murray"
"Durham",1,"Robin Moran, Judy Murray","Judy Murray"
"Durham",2,"Bruce Young","Bruce Young"
"Durham",2,"Edith Tatum, Clea","Edith Tatum"
"Durham",2,"Jeffrey Pippen","Jeff Pippen"
"Durham",3,"Carol Williamson and Norm Budnitz","Norman Budnitz"
"Durham",3,"Norman Budnitz","Norman Budnitz"
"Durham",4,"Jeff Pippen and Julie Rice","Jeff Pippen"
"Durham",4,"Jeffrey Pippen","Jeff Pippen"
"Durham",4,"Patsy Bailey","Patsy Bailey"
"Durham",4,"Roger Shaw","Roger Shaw"
"Durham",5,"Alan Johnston and Shantanu Phukan","Alan Johnston"
"Durham",5,"Alan Johnston, Denny Dobbin","Alan Johnston"
"Durham",5,"David Smith, Judy Smith","David Smith"
"Durham",6,"David Smith","David Smith"
"Durham",6,"David Smith, Judy Smith","David Smith"
"Durham",6,"Rick Payne","Rick Payne"
"Durham",7,"Brian Strong","Brian Strong"
"Durham",8,"Brian Bockhahn","Brian Bockhahn"
"Durham",8,"Brian Strong","Brian Strong"
"Orange",1,"Ginger Travis, Barb Brooks","Ginger Travis"
"Orange",1,"Ginger Travis and Cathy Packer","Ginger Travis"
"Orange",1,"Ginger Travis and Doug Shadwick","Ginger Travis"
"Orange",1,"Norman Budnitz, Mike Schultz","Norman Budnitz"
"Orange",2,"Barb Brooks","Barb Brooks"
"Orange",2,"barb brooks","Barb Brooks"
"Orange",2,"Barbara Brooks","Barb Brooks"
"Orange",3,"barb brooks","Barb Brooks"
"Orange",3,"Barb Brooks","Barb Brooks"
"Orange",3,"Bradley Saul, Charity Kirk","Bradley Saul"
"Orange",3,"Karen Piplani","Karen Piplani"
"Orange",3,"Kate Finlayson and Karen Piplani","Karen Piplani"
"Orange",3,"Kate Finlayson, Karen Piplani","Karen Piplani"
"Orange",4,"Allen Hurlbert","Allen Hurlbert"
"Orange",4,"Allen Hurlbert, Grace Di Cecco, Allison Duprey","Allen Hurlbert"
"Orange",4,"Allen Hurlbert, Sarah Pollack","Allen Hurlbert"
"Orange",4,"Jill Paul, Tom Driscoll","Jill Paul"
"Orange",4,"Kent Fiala","Kent Fiala"
"Orange",4,"Kent Kiala","Kent Fiala"
"Orange",4,"Will Cook, Catherine Carter","Will Cook"
"Orange",5,"Will Cook","Will Cook"
"Orange",5,"Will Cook, Catherine Anderson","Will Cook"
"Orange",5,"Will Cook, Catherine Carter","Will Cook"
"Orange",6,"Judy Murray","Judy Murray"
"Orange",6,"Judy Murray and Robin Moran","Judy Murray"
"Orange",6,"Judy Murray, Robin Moran","Judy Murray"
"Orange",6,"Karen Hogan, Robin Moran","Robin Moran"
"Orange",6,"Robin Moran & Judy Murray","Robin Moran"
"Orange",6,"Robin Moran and Judy Murray","Robin Moran"
"Orange",6,"Robin Moran, Judy Murray","Robin Moran"
"Orange",7,"Betty King","Betty King"
"Orange",7,"Betty and John King","Betty King"
"Orange",7,"Betty King, John King (driver)","Betty King"
"Orange",7,"brian bockhahn","Brian Bockhahn"
"Orange",7,"Brian Bockhahn","Brian Bockhahn"
"Orange",8,"Barb Brooks","Barb Brooks"
"Orange",8,"Barbara Brooks","Barb Brooks"
"Orange",9,"David Curtin","David Curtin"
"Orange",9,"Karen Hogan, Mark Hogan","Karen Hogan"
"Orange",9,"S. Phukan and T. Williams","Shantanu Phukan"
"Orange",9,"Shantanu Phukan","Shantanu Phukan"
"Orange",9,"Shantanu Phukan and Alan Johnston","Shantanu Phukan"
"Orange",9,"Sandy Cash","Sandy Cash"
"Orange",10,"Barb Brooks","Barb Brooks"
"Orange",10,"Nate Swick","Nathan Swick"
"Orange",10,"Nathan Swick","Nathan Swick"
"Orange",10,"Vern Bothwell, Nan Dewire","Vern Bothwell"
"Orange",10,"Will Cook","Will Cook"
"Orange",11,"Ali Iyoob","Ali Iyoob"
"Orange",11,"Marsha Stephens","Marsha Stephens"
"Orange",12,"Haven and Minna Wiley","Haven Wiley"
"Orange",12,"Haven Wiley","Haven Wiley"
"Orange",12,"Haven Wiley (Minna Wiley, recorder)","Haven Wiley"
"Orange",12,"Minna and Haven Wiley","Haven Wiley"
