mbbs_county,year,route,stop_num,species_code,count,observers,obs1,obs2,obs3,notes 
chatham,2000,13,1,EABL,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,1,EAME,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,1,HOWR,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,1,NOCA,4,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,1,NOMO,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,1,YBCH,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,2,AMCR,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,2,CACH,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,2,INBU,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,2,MODO,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,2,NOMO,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,2,WOTH,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,2,YBCH,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,3,AMCR,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,3,EABL,4,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,3,INBU,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,3,MODO,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,3,NOCA,4,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,3,PIWA,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,AMCR,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,BLJA,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,CHSP,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,EAME,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,INBU,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,MODO,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,NOMO,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,YBCH,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,4,YBCU,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,5,AMCR,4,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,5,BGGN,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,5,EATO,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,5,INBU,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,5,REVI,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,5,YBCH,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,6,AMCR,4,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,6,BLJA,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,6,CHSW,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,6,EATO,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,6,EAWP,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,6,INBU,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,6,NOCA,4,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,6,REVI,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,7,AMRO,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,7,CARW,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,7,DOWO,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,7,MODO,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,7,NOCA,3,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,7,PIWA,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,7,RBWO,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,7,REVI,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,8,AMCR,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,8,NOCA,4,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,8,PIWA,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,8,REVI,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,9,AMCR,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,9,AMRO,6,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,9,CHSW,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,9,NOCA,5,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,9,SOSP,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,10,AMRO,2,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,10,BLJA,1,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
chatham,2000,13,10,CHSW,5,"Marsha Stephens, Patsy Bailey",Marsha Stephens,Patsy Bailey,,
